model_id,dataset,image_id,image_file,prompt,score_threshold,r_squared,rmse,mape,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
owlv2,1,2,SAGIT22_C_4175_2022_05_27-25-21.tif,seedling,0,nan,8.0,88.88888888888889,[8],[9],0.11111111111111116,0.0,0.023762376237623756,0.11881188118811878,0.0,0.025742574257425734,0.0,-1.0,0.02222222222222222,0.02222222222222222,0.02222222222222222,0.025,0.0,-1.0
owlv2,1,3,SAGIT22_C_4175_2022_05_27-53-22.tif,seedling,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,4,SAGIT22_C_4175_2022_05_27-32-30.tif,seedling,0,nan,7.0,87.5,[7],[8],0.125,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,5,SAGIT22_C_4175_2022_05_27-34-45.tif,seedling,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,6,SAGIT22_C_4175_2022_05_27-68-45.tif,seedling,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.01584158415841584,0.0792079207920792,0.0,0.01584158415841584,-1.0,-1.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,-1.0,-1.0
owlv2,1,7,SAGIT22_C_4175_2022_05_27-67-57.tif,seedling,0,nan,15.0,93.75,[15],[16],0.0625,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,1,8,SAGIT22_C_4175_2022_05_27-35-60.tif,seedling,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.006930693069306929,0.06930693069306929,0.0,0.006930693069306929,-1.0,-1.0,0.006666666666666666,0.006666666666666666,0.006666666666666666,0.006666666666666666,-1.0,-1.0
owlv2,1,9,SAGIT22_C_4175_2022_05_27-75-67.tif,seedling,0,nan,13.0,92.85714285714286,[13],[14],0.0714285714285714,0.0,0.00792079207920792,0.0792079207920792,0.0,0.00792079207920792,0.0,-1.0,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.007692307692307693,0.0,-1.0
owlv2,1,10,SAGIT22_C_4175_2022_05_27-35-78.tif,seedling,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.00792079207920792,0.0792079207920792,0.0,0.00792079207920792,-1.0,-1.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.007692307692307693,-1.0,-1.0
owlv2,1,11,SAGIT22_C_4175_2022_05_27-44-97.tif,seedling,0,nan,13.0,92.85714285714286,[13],[14],0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,1,12,SAGIT22_C_4175_2022_05_27-65-111.tif,seedling,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0
owlv2,2,1,SAGIT22_C_4178_2022_04_29-35-15.tif,plant,0,nan,7.0,87.5,[7],[8],0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,2,SAGIT22_C_4178_2022_04_29-78-24.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,3,SAGIT22_C_4178_2022_04_29-44-25.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,4,SAGIT22_C_4178_2022_04_29-91-25.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,5,SAGIT22_C_4178_2022_04_29-29-26.tif,plant,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,6,SAGIT22_C_4178_2022_04_29-54-27.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,7,SAGIT22_C_4178_2022_04_29-63-31.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,8,SAGIT22_C_4178_2022_04_29-22-35.tif,plant,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,9,SAGIT22_C_4178_2022_04_29-30-37.tif,plant,0,nan,10.0,90.9090909090909,[10],[11],0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,10,SAGIT22_C_4178_2022_04_29-78-38.tif,plant,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,11,SAGIT22_C_4178_2022_04_29-46-39.tif,plant,0,nan,8.0,88.88888888888889,[8],[9],0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,12,SAGIT22_C_4178_2022_04_29-87-39.tif,plant,0,nan,8.0,88.88888888888889,[8],[9],0.11111111111111116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,13,SAGIT22_C_4178_2022_04_29-35-45.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,14,SAGIT22_C_4178_2022_04_29-61-46.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,15,SAGIT22_C_4178_2022_04_29-27-50.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,16,SAGIT22_C_4178_2022_04_29-49-53.tif,plant,0,nan,13.0,92.85714285714286,[13],[14],0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,17,SAGIT22_C_4178_2022_04_29-72-54.tif,plant,0,nan,10.0,90.9090909090909,[10],[11],0.09090909090909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,18,SAGIT22_C_4178_2022_04_29-59-59.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,19,SAGIT22_C_4178_2022_04_29-47-60.tif,plant,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,20,SAGIT22_C_4178_2022_04_29-68-73.tif,plant,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,1,SAGIT22_C_4178_2022_04_29-35-15.tif,maize,0,nan,7.0,87.5,[7],[8],0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,2,SAGIT22_C_4178_2022_04_29-78-24.tif,maize,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,3,SAGIT22_C_4178_2022_04_29-44-25.tif,maize,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,4,SAGIT22_C_4178_2022_04_29-91-25.tif,maize,0,nan,14.0,93.33333333333333,[14],[15],0.06666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,5,SAGIT22_C_4178_2022_04_29-29-26.tif,maize,0,nan,12.0,92.3076923076923,[12],[13],0.07692307692307687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owlv2,2,6,SAGIT22_C_4178_2022_04_29-54-27.tif,maize,0,nan,11.0,91.66666666666666,[11],[12],0.08333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
