model_id,score_threshold,r_squared,rmse,mape,errors,gt_values,count_accuracy_avg,count_accuracy_sd,ap_iou_50_95,ap_iou_50,ap_iou_75,ap_small,ap_medium,ap_large,ar_max_1,ar_max_10,ar_max_100,ar_small,ar_medium,ar_large
yolov5lu_dataset_2_exp_dataset_size_2,0.5,-50.04952830188679,14.712239802287074,118.86059773559776,"[-13, -9, -12, -15, -13, -15, -9, -9, -9, -12, -19, -19, -18, -14, -13, -16, -20, -21, -15, -14]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",-0.1886059773559774,0.3683855548410079,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_2,0.6,-42.136792452830186,13.52405264704334,109.88923576423575,"[-12, -9, -11, -13, -13, -13, -8, -9, -8, -11, -19, -15, -17, -11, -12, -16, -18, -19, -15, -13]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",-0.09889235764235768,0.361854800070738,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_2,0.7,-35.78066037735849,12.487994234463756,100.98634698634696,"[-12, -8, -9, -11, -12, -13, -8, -9, -8, -10, -18, -14, -16, -10, -11, -14, -17, -19, -12, -10]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",-0.00986346986346991,0.3345319178050658,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_2,0.8,-29.3066037735849,11.335784048754634,90.57481407481409,"[-10, -5, -8, -9, -12, -11, -7, -8, -6, -9, -17, -13, -15, -10, -10, -14, -16, -17, -9, -10]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.09425185925185925,0.3382940864100201,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_2,0.9,-18.433962264150942,9.077444574328174,72.07808857808857,"[-8, -4, -6, -8, -8, -8, -6, -6, -5, -7, -12, -9, -12, -7, -7, -12, -14, -15, -9, -9]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.27921911421911433,0.27516915335625325,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_2,0.95,-11.193396226415093,7.19027120489902,54.12369574869575,"[-7, -3, -3, -8, -7, -6, -3, -3, -2, -4, -9, -5, -10, -6, -7, -11, -12, -12, -4, -8]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.4587630425130424,0.27128381751909836,0.31066869870150865,0.7405748633757434,0.2006760021633403,0.31066869870150865,-1.0,-1.0,0.031048387096774193,0.3419354838709678,0.4370967741935484,0.4370967741935484,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.29,0.8820754716981132,0.7071067811865476,3.2892524142524144,"[-1, 0, 1, 1, -1, 0, 0, 0, 0, -1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9671074758574758,0.04685599347242712,0.6416541338140428,0.9675794868712756,0.7283543797754116,0.6416541338140428,-1.0,-1.0,0.06411290322580644,0.5883064516129032,0.6987903225806452,0.6987903225806452,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.4,0.9056603773584906,0.6324555320336759,2.3071095571095572,"[-1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9769289044289045,0.041337329099588836,0.6416541338140428,0.9675794868712756,0.7283543797754116,0.6416541338140428,-1.0,-1.0,0.06411290322580644,0.5883064516129032,0.6987903225806452,0.6987903225806452,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.5,0.8466981132075472,0.806225774829855,3.52933177933178,"[-1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9647066822066822,0.05001604529133017,0.6377613216187862,0.9480058200970749,0.7283543797754116,0.6377613216187862,-1.0,-1.0,0.06411290322580644,0.5879032258064516,0.6963709677419355,0.6963709677419355,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.6,0.8466981132075472,0.806225774829855,3.52933177933178,"[-1, 0, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9647066822066822,0.05001604529133017,0.6377613216187862,0.9480058200970749,0.7283543797754116,0.6377613216187862,-1.0,-1.0,0.06411290322580644,0.5879032258064516,0.6963709677419355,0.6963709677419355,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.7,0.5400943396226416,1.396424004376894,6.997766122766122,"[-1, 0, 1, 2, 1, 0, 3, 1, 0, 0, 2, 0, 1, 4, 0, 0, 0, 0, 1, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.9300223387723389,0.0815795319631263,0.623559066921645,0.9186429742796097,0.7201448088183159,0.623559066921645,-1.0,-1.0,0.06411290322580644,0.5814516129032258,0.6818548387096774,0.6818548387096774,-1.0,-1.0
yolov5lu_dataset_2_exp_dataset_size_3,0.8,-0.391509433962264,2.4289915602982237,13.870046620046622,"[-1, 1, 3, 3, 2, 0, 4, 1, 0, 0, 6, 0, 1, 5, 3, 0, 1, 1, 2, 0]","[13, 15, 13, 11, 8, 12, 15, 9, 12, 14, 12, 12, 12, 15, 15, 11, 12, 13, 9, 15]",0.8612995337995338,0.13592212601678516,0.5869805655268477,0.8502284075010434,0.6859494548844974,0.5869805655268477,-1.0,-1.0,0.06411290322580644,0.5625,0.6407258064516129,0.6407258064516129,-1.0,-1.0
